flight_id,origin,destination,departure_date,cash_price,miles_used,fees,value_standard,value_opportunity,value_conservative,category,created_at
1,BOS,SFO,2025-08-01,0.0,27000,11.33,-0.0004,-0.0004,-0.0104,AVOID,2025-06-25 20:00:04
4,BOS,SFO,2025-08-01,0.0,27000,11.33,-0.0004,-0.0004,-0.0104,AVOID,2025-06-25 20:00:04
6,BOS,SFO,2025-08-02,0.0,27000,11.33,-0.0004,-0.0004,-0.0104,AVOID,2025-06-25 20:00:08
9,BOS,SFO,2025-08-02,0.0,27000,13.79,-0.0005,-0.0005,-0.0105,AVOID,2025-06-25 20:00:08
11,BOS,SFO,2025-08-03,0.0,27000,11.33,-0.0004,-0.0004,-0.0104,AVOID,2025-06-25 20:00:12
14,BOS,SFO,2025-08-03,0.0,27000,11.33,-0.0004,-0.0004,-0.0104,AVOID,2025-06-25 20:00:12
16,JFK,LAX,2025-08-01,0.0,24750,11.76,-0.0005,-0.0005,-0.0105,AVOID,2025-06-25 20:00:15
19,JFK,LAX,2025-08-01,0.0,24750,15.63,-0.0006,-0.0006,-0.0106,AVOID,2025-06-25 20:00:15
21,JFK,LAX,2025-08-02,0.0,24750,10.9,-0.0004,-0.0004,-0.0104,AVOID,2025-06-25 20:00:19
24,JFK,LAX,2025-08-02,0.0,24750,12.93,-0.0005,-0.0005,-0.0105,AVOID,2025-06-25 20:00:19
26,JFK,LAX,2025-08-03,0.0,24750,11.76,-0.0005,-0.0005,-0.0105,AVOID,2025-06-25 20:00:21
29,JFK,LAX,2025-08-03,0.0,24750,15.63,-0.0006,-0.0006,-0.0106,AVOID,2025-06-25 20:00:21
31,ORD,SEA,2025-08-01,0.0,17200,9.66,-0.0006,-0.0006,-0.0106,AVOID,2025-06-25 20:00:25
34,ORD,SEA,2025-08-01,0.0,17200,14.82,-0.0009,-0.0009,-0.0109,AVOID,2025-06-25 20:00:25
36,ORD,SEA,2025-08-02,0.0,17200,8.22,-0.0005,-0.0005,-0.0105,AVOID,2025-06-25 20:00:29
39,ORD,SEA,2025-08-02,0.0,17200,15.57,-0.0009,-0.0009,-0.0109,AVOID,2025-06-25 20:00:29
41,ORD,SEA,2025-08-03,0.0,17200,10.9,-0.0006,-0.0006,-0.0106,AVOID,2025-06-25 20:00:32
44,ORD,SEA,2025-08-03,0.0,17200,13.85,-0.0008,-0.0008,-0.0108,AVOID,2025-06-25 20:00:32
46,BOS,LAX,2025-08-01,0.0,10000,28.71,-0.0029,-0.0029,-0.0129,AVOID,2025-06-25 20:00:46
49,BOS,LAX,2025-08-01,0.0,10000,28.71,-0.0029,-0.0029,-0.0129,AVOID,2025-06-25 20:00:46
52,BOS,LAX,2025-08-01,0.0,10000,29.14,-0.0029,-0.0029,-0.0129,AVOID,2025-06-25 20:00:46
55,BOS,LAX,2025-08-01,0.0,10000,41.02,-0.0041,-0.0041,-0.0141,AVOID,2025-06-25 20:00:46
58,BOS,LAX,2025-08-01,0.0,10000,41.02,-0.0041,-0.0041,-0.0141,AVOID,2025-06-25 20:00:46
61,BOS,LAX,2025-08-01,0.0,10000,53.3,-0.0053,-0.0053,-0.0153,AVOID,2025-06-25 20:00:46
64,BOS,LAX,2025-08-01,0.0,10000,53.56,-0.0054,-0.0054,-0.0154,AVOID,2025-06-25 20:00:46
67,BOS,LAX,2025-08-01,0.0,10000,53.78,-0.0054,-0.0054,-0.0154,AVOID,2025-06-25 20:00:46
70,BOS,LAX,2025-08-01,0.0,10000,53.78,-0.0054,-0.0054,-0.0154,AVOID,2025-06-25 20:00:46
73,BOS,LAX,2025-08-01,0.0,10000,54.04,-0.0054,-0.0054,-0.0154,AVOID,2025-06-25 20:00:46
76,BOS,LAX,2025-08-01,0.0,10000,54.04,-0.0054,-0.0054,-0.0154,AVOID,2025-06-25 20:00:46
79,BOS,LAX,2025-08-01,0.0,10000,54.04,-0.0054,-0.0054,-0.0154,AVOID,2025-06-25 20:00:46
82,BOS,LAX,2025-08-01,0.0,10000,54.4,-0.0054,-0.0054,-0.0154,AVOID,2025-06-25 20:00:46
85,BOS,LAX,2025-08-01,0.0,10000,54.58,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
88,BOS,LAX,2025-08-01,0.0,10000,54.78,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
91,BOS,LAX,2025-08-01,0.0,10000,54.78,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
94,BOS,LAX,2025-08-01,0.0,10000,54.78,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
97,BOS,LAX,2025-08-01,0.0,10000,54.78,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
100,BOS,LAX,2025-08-01,0.0,10000,54.78,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
103,BOS,LAX,2025-08-01,0.0,10000,54.78,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
106,BOS,LAX,2025-08-01,0.0,10000,54.78,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
109,BOS,LAX,2025-08-01,0.0,10000,55.04,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
112,BOS,LAX,2025-08-01,0.0,10000,55.04,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
115,BOS,LAX,2025-08-01,0.0,10000,55.04,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
118,BOS,LAX,2025-08-01,0.0,10000,55.04,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
121,BOS,LAX,2025-08-01,0.0,10000,55.04,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
124,BOS,LAX,2025-08-01,0.0,10000,55.04,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
127,BOS,LAX,2025-08-01,0.0,10000,55.04,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
130,BOS,LAX,2025-08-01,0.0,10000,55.04,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
133,BOS,LAX,2025-08-01,0.0,10000,55.14,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
136,BOS,ONT,2025-08-01,0.0,10000,55.19,-0.0055,-0.0055,-0.0155,AVOID,2025-06-25 20:00:46
139,BOS,LAX,2025-08-01,0.0,10000,55.8,-0.0056,-0.0056,-0.0156,AVOID,2025-06-25 20:00:46
142,BOS,LAX,2025-08-01,0.0,10000,56.29,-0.0056,-0.0056,-0.0156,AVOID,2025-06-25 20:00:46
145,BOS,LAX,2025-08-01,0.0,10000,56.3,-0.0056,-0.0056,-0.0156,AVOID,2025-06-25 20:00:46
148,BOS,LAX,2025-08-01,0.0,10000,56.56,-0.0057,-0.0057,-0.0157,AVOID,2025-06-25 20:00:46
151,BOS,LAX,2025-08-01,0.0,10000,56.56,-0.0057,-0.0057,-0.0157,AVOID,2025-06-25 20:00:46
154,BOS,LAX,2025-08-01,0.0,10000,56.58,-0.0057,-0.0057,-0.0157,AVOID,2025-06-25 20:00:46
157,BOS,LAX,2025-08-01,0.0,10000,56.68,-0.0057,-0.0057,-0.0157,AVOID,2025-06-25 20:00:46
160,BOS,LAX,2025-08-01,0.0,10000,56.78,-0.0057,-0.0057,-0.0157,AVOID,2025-06-25 20:00:46
163,BOS,LAX,2025-08-01,0.0,10000,57.04,-0.0057,-0.0057,-0.0157,AVOID,2025-06-25 20:00:46
166,BOS,LAX,2025-08-01,0.0,10000,57.14,-0.0057,-0.0057,-0.0157,AVOID,2025-06-25 20:00:46
169,BOS,LAX,2025-08-01,0.0,10000,57.16,-0.0057,-0.0057,-0.0157,AVOID,2025-06-25 20:00:46
172,BOS,LAX,2025-08-01,0.0,10000,57.42,-0.0057,-0.0057,-0.0157,AVOID,2025-06-25 20:00:46
175,BOS,LAX,2025-08-01,0.0,10000,57.68,-0.0058,-0.0058,-0.0158,AVOID,2025-06-25 20:00:46
178,BOS,LAX,2025-08-01,0.0,10000,57.68,-0.0058,-0.0058,-0.0158,AVOID,2025-06-25 20:00:46
181,BOS,LAX,2025-08-01,0.0,10000,57.7,-0.0058,-0.0058,-0.0158,AVOID,2025-06-25 20:00:46
184,BOS,LAX,2025-08-01,0.0,10000,58.18,-0.0058,-0.0058,-0.0158,AVOID,2025-06-25 20:00:46
187,BOS,LAX,2025-08-01,0.0,10000,58.18,-0.0058,-0.0058,-0.0158,AVOID,2025-06-25 20:00:46
190,BOS,ONT,2025-08-01,0.0,10000,59.01,-0.0059,-0.0059,-0.0159,AVOID,2025-06-25 20:00:46
193,BOS,LAX,2025-08-01,0.0,10000,59.18,-0.0059,-0.0059,-0.0159,AVOID,2025-06-25 20:00:46
196,BOS,LAX,2025-08-01,0.0,10000,59.18,-0.0059,-0.0059,-0.0159,AVOID,2025-06-25 20:00:46
199,BOS,LAX,2025-08-01,0.0,10000,59.18,-0.0059,-0.0059,-0.0159,AVOID,2025-06-25 20:00:46
202,BOS,LAX,2025-08-01,0.0,10000,59.18,-0.0059,-0.0059,-0.0159,AVOID,2025-06-25 20:00:46
205,BOS,LAX,2025-08-01,0.0,10000,59.18,-0.0059,-0.0059,-0.0159,AVOID,2025-06-25 20:00:46
208,BOS,LAX,2025-08-01,0.0,10000,59.18,-0.0059,-0.0059,-0.0159,AVOID,2025-06-25 20:00:46
211,BOS,LAX,2025-08-01,0.0,10000,59.29,-0.0059,-0.0059,-0.0159,AVOID,2025-06-25 20:00:46
214,BOS,LAX,2025-08-01,0.0,10000,59.3,-0.0059,-0.0059,-0.0159,AVOID,2025-06-25 20:00:46
217,BOS,LAX,2025-08-01,0.0,10000,59.3,-0.0059,-0.0059,-0.0159,AVOID,2025-06-25 20:00:46
220,BOS,LAX,2025-08-01,0.0,10000,59.56,-0.006,-0.006,-0.016,AVOID,2025-06-25 20:00:46
223,BOS,LAX,2025-08-01,0.0,10000,59.68,-0.006,-0.006,-0.016,AVOID,2025-06-25 20:00:46
226,BOS,LAX,2025-08-01,0.0,10000,60.04,-0.006,-0.006,-0.016,AVOID,2025-06-25 20:00:46
229,BOS,LAX,2025-08-01,0.0,10000,60.2,-0.006,-0.006,-0.016,AVOID,2025-06-25 20:00:46
232,BOS,LAX,2025-08-01,0.0,10000,60.3,-0.006,-0.006,-0.016,AVOID,2025-06-25 20:00:46
235,BOS,LAX,2025-08-01,0.0,10000,60.3,-0.006,-0.006,-0.016,AVOID,2025-06-25 20:00:46
238,BOS,LAX,2025-08-01,0.0,10000,60.56,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
241,BOS,LAX,2025-08-01,0.0,10000,60.56,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
244,BOS,LAX,2025-08-01,0.0,10000,60.6,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
247,BOS,LAX,2025-08-01,0.0,10000,60.68,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
250,BOS,LAX,2025-08-01,0.0,10000,60.68,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
253,BOS,LAX,2025-08-01,0.0,10000,60.7,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
256,BOS,LAX,2025-08-01,0.0,10000,60.86,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
259,BOS,LAX,2025-08-01,0.0,10000,60.86,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
262,BOS,LAX,2025-08-01,0.0,10000,61.04,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
265,BOS,LAX,2025-08-01,0.0,10000,61.04,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
268,BOS,LAX,2025-08-01,0.0,10000,61.04,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
271,BOS,LAX,2025-08-01,0.0,10000,61.17,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
274,BOS,LAX,2025-08-01,0.0,10000,61.17,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
277,BOS,LAX,2025-08-01,0.0,10000,61.17,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
280,BOS,LAX,2025-08-01,0.0,10000,61.17,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
283,BOS,LAX,2025-08-01,0.0,10000,61.18,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
286,BOS,LAX,2025-08-01,0.0,10000,61.21,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
289,BOS,LAX,2025-08-01,0.0,10000,61.29,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
292,BOS,LAX,2025-08-01,0.0,10000,61.3,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
295,BOS,LAX,2025-08-01,0.0,10000,61.56,-0.0062,-0.0062,-0.0162,AVOID,2025-06-25 20:00:46
